ID;Description;BeginDate;EndDate;BookingFee;TotalPrice;Currency_code;Status_code;Agency_ID;Customer_ID
1;Wellness retreat to Munich;2027-03-05;2027-03-17;0.00;1643.00;EUR;O;5;40
2;Hiking tour to Rome;2026-11-18;2026-11-24;40.00;2777.00;EUR;O;17;53
3;Island hopping to Geneva;2027-02-13;2027-03-03;0.00;1429.00;CHF;O;9;53
4;Hiking tour to Marseille;2027-02-07;2027-02-24;40.00;3079.00;EUR;O;16;44
5;Island hopping to Barcelona;2027-02-14;2027-02-22;25.00;950.00;EUR;X;19;55
6;Family holiday to Barcelona;2026-09-15;2026-09-17;60.00;2719.00;EUR;O;19;43
7;Ski trip to Barcelona;2027-02-03;2027-02-12;0.00;452.00;EUR;A;19;35
8;Wellness retreat to Barcelona;2026-10-26;2026-11-08;40.00;1887.00;EUR;O;19;43
9;City break to San Francisco;2027-03-07;2027-03-21;60.00;663.00;USD;O;13;2
10;Family holiday to Zurich;2027-03-03;2027-03-24;0.00;3480.00;CHF;A;8;6
11;Wine tour to London;2027-02-13;2027-03-06;0.00;1851.00;GBP;A;10;57
12;Business trip to San Francisco;2027-03-04;2027-03-08;0.00;2594.00;USD;X;13;23
13;Wellness retreat to Paris;2027-02-14;2027-02-23;40.00;640.00;EUR;A;15;54
14;Island hopping to Barcelona;2027-02-28;2027-03-19;0.00;4395.00;EUR;A;19;35
15;City break to Madrid;2026-11-19;2026-11-24;25.00;1162.00;EUR;O;20;5
16;Hiking tour to Paris;2026-12-30;2027-01-01;60.00;1974.00;EUR;X;15;54
17;Beach holiday to Zurich;2026-12-25;2027-01-07;60.00;692.00;CHF;O;8;24
18;City break to Rome;2027-01-03;2027-01-10;40.00;306.00;EUR;O;17;37
19;Wine tour to Edinburgh;2026-11-23;2026-12-06;40.00;1204.00;GBP;O;11;39
20;Wellness retreat to Venice;2027-02-12;2027-02-14;40.00;203.00;EUR;O;18;52
21;Wine tour to New York;2027-02-01;2027-02-05;40.00;785.00;USD;O;12;58
22;Culture weekend to Edinburgh;2027-02-01;2027-02-15;0.00;1742.00;GBP;X;11;19
23;Hiking tour to Edinburgh;2027-02-20;2027-03-13;25.00;845.00;GBP;O;11;39
24;Business trip to Marseille;2026-10-12;2026-10-27;25.00;1373.00;EUR;O;16;44
25;Beach holiday to Linz;2026-12-17;2027-01-06;25.00;1091.00;EUR;O;3;17
26;Wine tour to Vienna;2026-10-18;2026-11-07;40.00;447.00;EUR;O;2;34
27;Island hopping to Madrid;2027-01-14;2027-01-28;0.00;2689.00;EUR;A;20;36
28;Ski trip to Munich;2027-03-30;2027-04-19;60.00;1678.00;EUR;A;5;19
29;Wine tour to Geneva;2027-02-20;2027-02-28;25.00;1379.00;CHF;O;9;30
30;Family holiday to Edinburgh;2026-11-10;2026-11-12;0.00;4622.00;GBP;A;11;28
31;Wine tour to San Francisco;2027-01-30;2027-02-04;40.00;1481.00;USD;O;13;2
32;Family holiday to Paris;2027-01-30;2027-02-05;0.00;529.00;EUR;A;15;28
33;Wine tour to Barcelona;2026-10-29;2026-11-08;40.00;1303.00;EUR;X;19;30
34;Family holiday to Chicago;2026-12-14;2026-12-30;40.00;1681.00;USD;O;14;8
35;Wine tour to London;2026-12-23;2027-01-01;0.00;367.00;GBP;O;10;22
36;Beach holiday to London;2027-01-14;2027-01-23;0.00;883.00;GBP;O;10;57
37;City break to Edinburgh;2027-02-12;2027-03-05;25.00;2408.00;GBP;A;11;10
38;Business trip to Marseille;2027-01-23;2027-01-26;0.00;453.00;EUR;O;16;27
39;Beach holiday to Barcelona;2026-09-28;2026-10-12;60.00;1718.00;EUR;O;19;47
40;Family holiday to Chicago;2027-02-14;2027-02-20;40.00;3714.00;USD;O;14;49
41;Culture weekend to Rome;2026-12-28;2027-01-04;40.00;3413.00;EUR;O;17;23
42;Ski trip to London;2026-10-30;2026-11-18;60.00;1928.00;GBP;A;10;59
43;Wine tour to Munich;2026-12-30;2027-01-04;40.00;3395.00;EUR;O;5;40
44;Business trip to London;2026-12-28;2027-01-09;60.00;3226.00;GBP;O;10;57
45;Island hopping to New York;2027-01-24;2027-02-14;60.00;3667.00;USD;X;12;28
46;Business trip to New York;2026-12-03;2026-12-15;40.00;2655.00;USD;O;12;16
47;Culture weekend to San Francisco;2026-10-01;2026-10-14;25.00;1287.00;USD;O;13;2
48;Beach holiday to Chicago;2027-02-06;2027-02-26;0.00;2090.00;USD;O;14;8
49;Hiking tour to Marseille;2027-01-31;2027-02-12;0.00;1447.00;EUR;A;16;60
50;Culture weekend to Barcelona;2026-12-17;2027-01-07;40.00;2834.00;EUR;A;19;33
